User_ID,Exercise_Type,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Total_Calories_Burned
10796536,"Climbing hills, carrying 21 to 42 lb",male,65,179.0,89.0,7.0,88.0,39.4,17.109919008557195
19207815,"Climbing hills, carrying up to 9 lbs",female,33,159.0,59.0,26.0,113.0,40.7,36.8502428485572
11260824,"Track and field (high jump, pole vault)",female,23,161.0,56.0,7.0,85.0,39.7,8.067709172537317
12388580,Curling,female,27,175.0,69.0,25.0,105.0,40.8,23.66802435820895
14580760,Rugby,female,41,173.0,65.0,13.0,100.0,40.2,29.0038233850747
12249672,"Carrying infant, level ground",male,32,185.0,89.0,4.0,88.0,38.6,4.27798186268657
18663752,"Surfing, body surfing or board surfing",male,50,195.0,94.0,29.0,104.0,40.9,28.05175408716419
12734223,"Rowing machine, vigorous",male,55,193.0,98.0,24.0,112.0,40.8,68.62860500059722
16626896,Mild stretching,female,53,164.0,62.0,27.0,110.0,40.8,14.37405967880597
17195699,"Walking 4.0 mph, very brisk",female,71,151.0,56.0,18.0,106.0,40.4,17.299321877014968
18548442,"Track and field (shot, discus)",male,53,174.0,82.0,29.0,112.0,40.9,32.62757212975124
11808320,Orienteering,male,23,182.0,89.0,8.0,79.0,39.3,21.988425085771095
17857766,"Sailing, competition",male,54,186.0,84.0,28.0,110.0,40.9,40.3650843797016
16882195,Sky diving,male,28,172.0,78.0,27.0,103.0,40.8,21.671677955820904
18884618,"Aerobics, step aerobics",female,33,161.0,65.0,5.0,82.0,39.0,9.483119313432862
13074999,"Circuit training, minimal rest",female,79,160.0,57.0,14.0,85.0,40.0,21.91607603343281
15138479,"Cross country skiing, vigorous",male,45,192.0,95.0,17.0,94.0,40.3,49.87543049651731
17964265,"Running, stairs, up",female,31,169.0,72.0,9.0,89.0,39.7,33.36297790567161
12527739,Mild stretching,female,29,174.0,72.0,10.0,89.0,39.7,6.182391259701491
19157348,Race walking,female,67,163.0,59.0,25.0,107.0,40.6,32.90319132835828
15212901,"Stationary cycling, moderate",male,29,169.0,70.0,12.0,89.0,40.1,20.17875097313432
12439551,"Jumping rope, moderate",male,45,185.0,87.0,24.0,107.0,40.8,71.6686192047763
14869660,"Football, competitive",male,45,187.0,85.0,18.0,91.0,40.4,47.25040783880588
19469421,Health club exercise,male,61,167.0,70.0,9.0,86.0,39.9,11.892572937313425
13987013,Kickball,male,21,188.0,89.0,4.0,80.0,38.6,8.55194684099502
19230601,"Walking, snow blower",female,22,167.0,65.0,26.0,99.0,41.0,20.30839704477613
11098375,"Running, 10 mph (6 min mile)",female,45,170.0,70.0,4.0,87.0,39.1,15.37654313233831
12876970,"Walk/run, playing with children, moderate",male,64,190.0,91.0,11.0,89.0,39.9,13.734314424676612
19473874,"Walking, under 2.0 mph, very slow",male,37,179.0,82.0,28.0,101.0,40.7,15.751241717810942
11754581,Walking 4.5 mph,male,44,189.0,88.0,13.0,94.0,40.0,24.73209251661701
17806343,"Roller blading, in-line skating",female,35,173.0,68.0,29.0,108.0,40.4,81.21553476616923
17576098,Walking downstairs,female,75,164.0,61.0,17.0,93.0,40.3,10.671191851940302
19090637,"Aerobics, low impact",male,44,186.0,86.0,13.0,101.0,40.0,19.187144700895573
10574846,Walking 2.5 mph,male,32,174.0,70.0,3.0,92.0,38.7,2.16099352835821
11187506,Ski mobiling,female,44,172.0,68.0,25.0,106.0,40.8,40.837948398009935
13124043,"Boating, power, speed boat",male,35,186.0,86.0,10.0,93.0,39.8,7.384522893532338
17220466,Kayaking,male,76,189.0,99.0,18.0,93.0,40.0,30.582729746865745
18178136,"Shuffleboard, lawn bowling",male,47,191.0,98.0,29.0,116.0,40.8,29.24544575044777
16149003,Darts (wall or lawn),male,32,188.0,86.0,24.0,101.0,40.7,17.722854944477614
16127801,Fencing,male,50,184.0,82.0,26.0,107.0,40.6,43.8784590710448
14493632,Water volleyball,male,66,170.0,72.0,13.0,98.0,40.3,9.631856869253737
19872182,"Running, cross country",female,74,148.0,50.0,24.0,102.0,40.9,37.059143402985
15976902,Cleaning gutters,male,56,182.0,90.0,9.0,86.0,39.4,13.901240794029889
14104006,"Sit, playing with animals",male,36,164.0,66.0,18.0,92.0,40.4,10.20094557850746
14406715,"Cross country skiing, uphill",male,64,180.0,82.0,12.0,96.0,40.4,55.72519890626862
10913237,Water jogging,male,59,182.0,84.0,11.0,97.0,39.9,25.37650909134325
17921612,Juggling,male,73,192.0,92.0,11.0,87.0,40.0,13.885240956815917
18583121,"Football or baseball, playing catch",male,29,188.0,94.0,21.0,109.0,40.5,16.950056037014924
15435063,"Football, competitive",male,26,194.0,93.0,22.0,101.0,40.6,63.18583950208942
19895858,"Jumping rope, slow",female,57,151.0,51.0,6.0,86.0,39.2,8.403908854925364
19866323,General cleaning,female,46,161.0,60.0,22.0,96.0,40.5,15.862179940298514
19397568,"Cycling, 10-11.9 mph, light",female,36,173.0,68.0,27.0,108.0,40.8,37.78651541014927
11743870,"Jumping rope, slow",male,33,181.0,82.0,13.0,100.0,40.1,29.27636222009947
13058780,"Walking, under 2.0 mph, very slow",male,30,183.0,89.0,29.0,109.0,41.0,17.706426338706464
17667558,"Mowing lawn, riding mower",female,55,161.0,64.0,29.0,104.0,40.3,15.93683080278607
11156542,"Racquetball, competitive",male,27,189.0,95.0,14.0,95.0,40.4,45.65098828656728
19143835,Rugby,female,34,167.0,64.0,10.0,99.0,39.6,21.967392859701548
16304159,Walking the dog,female,26,162.0,62.0,26.0,101.0,41.0,16.588197941492545
17007545,"Jumping rope, fast",female,57,160.0,59.0,18.0,98.0,40.6,43.73777785074631
13569222,Ski mobiling,male,65,168.0,71.0,17.0,99.0,40.2,28.99494336258705
13646720,"Loading, unloading car",male,64,178.0,75.0,20.0,94.0,40.2,15.4356680597015
10777558,Tai chi,male,42,176.0,79.0,11.0,99.0,40.1,11.92319603900497
11473760,"Jumping rope, moderate",male,42,196.0,101.0,17.0,87.0,40.1,58.93439615641805
18816364,"Walking, pushing a wheelchair",male,52,177.0,85.0,5.0,79.0,39.2,5.831252378109451
11251821,"Climbing hills, carrying up to 9 lbs",female,41,161.0,62.0,8.0,90.0,39.5,11.915072003184074
19325095,Pushing stroller or walking with children,female,65,168.0,66.0,24.0,111.0,40.6,13.601260771343284
16746432,"Mowing lawn, walk, power mower",female,30,154.0,56.0,11.0,90.0,40.1,11.62829353870646
11948938,Carrying moderate loads upstairs,female,30,166.0,66.0,16.0,87.0,40.2,29.001724675820864
15770448,"Golf, general",male,27,198.0,97.0,23.0,100.0,40.7,34.48732189651742
16053189,"Football, competitive",male,43,176.0,82.0,13.0,88.0,40.3,32.92087238965168
19406860,Swimming synchronized,female,24,167.0,63.0,24.0,97.0,40.6,41.52519669492533
12372384,"Golf, miniature golf",female,32,156.0,59.0,12.0,93.0,40.1,7.285635324179108
11756678,General cleaning,male,27,202.0,108.0,5.0,82.0,38.8,6.489073611940302
11473257,"Rowing machine, moderate",female,44,182.0,83.0,28.0,108.0,41.1,55.82787769233829
10278209,Snowmobiling,female,28,160.0,61.0,21.0,99.0,40.3,15.393524623880603
10230653,"Rowing machine, vigorous",male,42,176.0,76.0,12.0,96.0,40.0,26.61109173492545
18805073,"Circuit training, minimal rest",male,65,191.0,87.0,23.0,103.0,40.9,54.9549726101492
10417026,"Ballroom dancing, slow",male,74,176.0,79.0,9.0,101.0,39.4,7.3165066602985105
13441099,Gymnastics,male,79,184.0,87.0,21.0,100.0,40.5,25.067524928955216
13246062,Softball or baseball,male,29,187.0,82.0,15.0,97.0,40.1,21.109291576119457
18852801,"Walk / run, playing with animals",female,28,154.0,58.0,30.0,113.0,40.6,23.873833265671635
13577418,Race walking,female,22,172.0,65.0,8.0,83.0,39.6,11.59976914626868
10983503,"Cross country skiing, vigorous",male,45,192.0,97.0,21.0,103.0,40.7,62.90789592656704
17575045,"Rowing machine, very vigorous",male,66,182.0,86.0,9.0,91.0,39.5,31.87668555223883
16889474,"Ice skating, < 9 mph",male,44,198.0,97.0,29.0,109.0,40.7,53.10128202009947
13538142,"Riding, snow blower",male,20,178.0,76.0,11.0,97.0,39.7,8.602812331940301
13655471,Juggling,female,60,169.0,73.0,10.0,95.0,40.0,10.016033496517409
17749229,"Softball, officiating",male,22,172.0,73.0,25.0,100.0,40.5,25.040083741293525
18157346,"Bagging grass, leaves",female,26,161.0,60.0,9.0,82.0,39.8,7.409120668656714
19861664,"Canoeing, rowing, light",female,23,149.0,47.0,28.0,114.0,40.8,13.542226111044782
18974698,"Aerobics, general",female,78,161.0,59.0,16.0,89.0,40.2,21.058042450149298
17051472,"Horesback riding, saddling horse",male,20,192.0,90.0,14.0,92.0,40.2,15.141171761194038
10814313,Instructing aerobic class,male,54,176.0,72.0,22.0,112.0,40.7,32.600130942089564
15217189,"Sailing, yachting, ocean sailing",female,55,144.0,50.0,7.0,82.0,39.4,3.601655880597016
14282992,"Basketball, wheelchair",male,30,181.0,82.0,19.0,101.0,40.4,34.75469294208962
13667618,Carrying small children,male,38,201.0,106.0,21.0,106.0,40.9,22.906531400597025
16155127,Kayaking,male,43,187.0,90.0,9.0,90.0,39.5,13.901240794029889
14139296,Pushing a wheelchair,male,32,179.0,83.0,3.0,86.0,38.7,3.416427863880596
13975608,Bowling,female,51,160.0,66.0,3.0,76.0,38.5,2.037508183880598
18976127,"Horse racing, galloping",male,41,172.0,71.0,7.0,87.0,39.5,13.649485950646753
10011832,"Horseback riding, grooming horse",male,62,196.0,97.0,30.0,112.0,40.8,34.968896686567184
19302532,"Cycling, 16-19 mph, very fast, racing",female,23,166.0,66.0,20.0,98.0,40.5,54.36333970149258
17809520,"Running, cross country",male,28,195.0,94.0,17.0,100.0,40.5,49.35042596497502
11240632,"Swimming laps, freestyle, fast",male,52,186.0,90.0,5.0,80.0,38.7,15.44582310447765
18677936,"Boxing, in ring",male,68,170.0,74.0,14.0,90.0,39.9,42.66698479601994
16136706,General cleaning,female,64,167.0,62.0,21.0,104.0,40.4,15.645877486567173
14274228,"Basketball game, competitive",male,48,199.0,106.0,7.0,85.0,39.3,20.378105785472613
15794287,"Hiking, cross country",male,53,185.0,83.0,14.0,102.0,40.3,23.91499504716419
17811144,"Water aerobics, water calisthenics",female,35,134.0,39.0,6.0,90.0,39.1,3.21061895641791
14854168,"Climbing hills, carrying up to 9 lbs",female,39,177.0,74.0,6.0,78.0,39.1,10.665911228656713
12678061,"Softball, pitching",female,55,165.0,71.0,3.0,86.0,38.6,4.383729728955226
10714333,"Skin diving, scuba diving",male,29,181.0,77.0,13.0,97.0,40.1,24.046344909651733
16994476,Jazzercise,male,76,190.0,95.0,22.0,104.0,40.4,43.01406165970151
16427125,"Carrying infant, level ground",male,27,180.0,80.0,28.0,111.0,41.2,26.91763868656718
10164017,Watering lawn or garden,male,39,197.0,96.0,3.0,78.0,38.6,1.4883233623880594
16650300,"Walking 3.5 mph, uphill",male,21,187.0,85.0,9.0,94.0,39.5,15.744381420895529
15789439,Swimming backstroke,female,78,177.0,76.0,22.0,101.0,40.6,40.16532336557212
12534780,"Weight lifting, light workout",male,62,183.0,81.0,10.0,88.0,39.7,8.33526075223881
15442775,"Canoeing, camping trip",male,29,196.0,97.0,7.0,85.0,39.3,9.316283211144276
10440812,Skateboarding,male,66,166.0,66.0,16.0,96.0,40.7,18.123099109253776
12558971,"Coaching: football, basketball, soccer…",female,39,178.0,73.0,23.0,103.0,40.8,23.03687704199005
11387797,"Basketball, officiating",male,22,190.0,88.0,18.0,92.0,40.0,38.05135897791043
10268173,Archery,female,38,145.0,49.0,17.0,91.0,40.1,10.00999688656717
15095176,Wallyball,female,26,161.0,51.0,28.0,109.0,41.0,34.30387665432835
13033534,"Carrying 16 to 24 lbs, upstairs",female,69,187.0,76.0,23.0,108.0,40.6,35.97539702447763
14710903,"Boxing, punching bag",female,27,163.0,60.0,4.0,82.0,38.7,4.93941377910448
11702467,Painting,female,34,170.0,68.0,25.0,100.0,40.9,26.278999203980103
16734316,"Surfing, body surfing or board surfing",female,22,149.0,49.0,16.0,93.0,40.2,8.067709172537317
19673038,"Soccer, competitive",female,20,171.0,68.0,2.0,86.0,38.0,4.6680709826865785
10406685,Water aerobics,male,64,186.0,89.0,24.0,110.0,40.9,29.307188422686565
19492118,"Cycling, 16-19 mph, very fast, racing",male,67,193.0,93.0,7.0,71.0,39.4,26.811010716417933
19161845,"Ice skating, average speed",male,25,188.0,88.0,26.0,110.0,41.1,54.96307407920396
18473340,"Stationary cycling, very vigorous",male,72,176.0,78.0,6.0,91.0,39.0,20.08221034746272
18994550,Fencing,female,77,164.0,68.0,17.0,95.0,40.2,23.79150970268658
19743732,"Water aerobics, water calisthenics",male,28,187.0,88.0,22.0,109.0,40.4,26.563069656517403
15985242,Squash,female,32,163.0,61.0,23.0,104.0,40.6,57.78164060696522
18982255,"Walk / run, playing with animals",male,34,182.0,88.0,13.0,106.0,40.2,15.696359342487558
13967367,"Diving, springboard or platform",female,34,160.0,62.0,8.0,88.0,39.8,5.104060905074629
